filename,title,specialty,status,version,approval_date,review_date,owner
adult_type1diabetes_outpatient_management_guideline_v1.0.docx,Adult Type 1 Diabetes OutpatientManagement Guideline,Diabetes,Approved,1.0,2026-01-01,2027-01-01,Diabetes MDT
diabetes_in_pregnancy.pdf,Diabetes in Pregnancy,Diabetes,Approved,1.0,2024-04-10,2026-11-12,Maternity Guideline Group
diabetes_inpatient_guideline_for_peri-operative_management_of_diabetes.docx,Peri-operative Management of Diabetes,Diabetes,Approved,1.1,2024-03-18,2027-01-01,MDEC Specialist Governance Group
diabetes_in_pregnancy_antenatal_care_guideline.pdf,Diabetes in Pregnancy - Antenatal Care,Diabetes in Pregnancy,Approved,1.0,2024-06-01,2025-04-04,Maternity Guideline Group
diabetes_in_pregnancy_labour_and_puerperium_v3.2.pdf,Diabetes in Labour and the Postnatal Period,Diabetes in Pregnancy,Approved,3.2,2025-08-14,2030-01-09,Maternity Guideline Group
